player1_name,player2_name,surface,date,tournament,status1,status2,match_status,player1_odds,player2_odds,player1_score,player2_score
Cameron Norrie,Frances Tiafoe,grass,2025-07-02,Wimbledon (United Kingdom),FINAL,,FINISHED,"['+145', '+145', '+150', '+145', '+145', '+145', '+162']","['-190', '-180', '-188', '-190', '-186', '-186', '-196']",3,1
Joao Fonseca,Jenson Brooksby,grass,2025-07-02,Wimbledon (United Kingdom),FINAL,,FINISHED,"['-190', '-240', '-225', '-235', '-215', '-215', '-230']","['+145', '+180', '+175', '+180', '+170', '+170', '+188']",3,1
Shintaro Mochizuki,Karen Khachanov,grass,2025-07-02,Wimbledon (United Kingdom),FINAL,,FINISHED,"['+375', '+475', '+450', '+475', '+475', '+475', '+540']","['-550', '-800', '-700', '-750', '-715', '-715', '-800']",2,3
Adrian Mannarino,Valentin Royer,grass,2025-07-02,Wimbledon (United Kingdom),FINAL,,FINISHED,"['-250', '-240', '-250', '-235', '-200', '-200', '-240']","['+190', '+180', '+200', '+185', '+155', '+155', '+190']",3,1
Nicolas Jarry,Learner Tien,grass,2025-07-02,Wimbledon (United Kingdom),FINAL,,FINISHED,"['-140', '-150', '-150', '-155', '-155', '-155', '-150']","['+110', '+120', '+120', '+118', '+123', '+123', '+118']",3,0
Andrey Rublev,Lloyd Harris,grass,2025-07-02,Wimbledon (United Kingdom),FINAL,,FINISHED,"['-450', '-350', '-350', '-350', '-360', '-360', '-360']","['+320', '+250', '+275', '+260', '+235', '+235', '+275']",3,1
Nuno Borges,Billy Harris,grass,2025-07-02,Wimbledon (United Kingdom),FINAL,,FINISHED,"['-190', '-170', '-175', '-175', '-175', '-175', '-184']","['+145', '+135', '+138', '+135', '+135', '+135', '+152']",3,0
Oliver Tarvet,Carlos Alcaraz,grass,2025-07-02,Wimbledon (United Kingdom),LIVE,3rd Set,LIVE,"['+1350', '+2000', '+2200', '+1600', '+2200', '+2200', '+2000']","['-', '-20000', '-8000', '-', '-10000', '-10000', '-7000']",0,2
Jordan Thompson,Benjamin Bonzi,grass,2025-07-02,Wimbledon (United Kingdom),LIVE,2nd Set,LIVE,"['+130', '+155', '+150', '+145', '+160', '+160', '+152']","['-165', '-200', '-188', '-190', '-205', '-205', '-184']",1,0
Jiri Lehecka,Mattia Bellucci,grass,2025-07-02,Wimbledon (United Kingdom),WED 07/02,12:40 PM,SCHEDULED,"['-625', '-600', '-450', '-525', '-500', '-500', '-465']","['+400', '+380', '+333', '+350', '+360', '+360', '+385']",-,-
Kamil Majchrzak,Ethan Quinn,grass,2025-07-02,Wimbledon (United Kingdom),WED 07/02,12:55 PM,SCHEDULED,"['+130', '+115', '+130', '+115', '+105', '+105', '+125']","['-165', '-145', '-163', '-150', '-134', '-134', '-150']",-,-
Taylor Fritz,Gabriel Diallo,grass,2025-07-02,Wimbledon (United Kingdom),WED 07/02,12:45 PM,SCHEDULED,"['-300', '-300', '-275', '-300', '-315', '-315', '-310']","['+225', '+220', '+220', '+225', '+245', '+245', '+240']",-,-
Cristian Garin,Arthur Rinderknech,grass,2025-07-02,Wimbledon (United Kingdom),WED 07/02,12:45 PM,SCHEDULED,"['+135', '+115', '+130', '+110', '+116', '+116', '+126']","['-175', '-145', '-163', '-145', '-148', '-148', '-152']",-,-
Arthur Fery,Luciano Darderi,grass,2025-07-02,Wimbledon (United Kingdom),WED 07/02,1:40 PM,SCHEDULED,"['+120', '-130', '-125', '-135', '-125', '-125', '-122']","['-155', '+100', '+100', '+105', '+100', '+100', '+102']",-,-
Botic Van De Zandschulp,Alejandro Davidovich Fokina,grass,2025-07-02,Wimbledon (United Kingdom),WED 07/02,1:50 PM,SCHEDULED,"['+240', '+250', '+250', '+240', '+255', '+255', '+255']","['-325', '-350', '-333', '-325', '-345', '-345', '-320']",-,-
Sebastian Ofner,Tommy Paul,grass,2025-07-03,Wimbledon (United Kingdom),THU 07/03,6:00 AM,SCHEDULED,"['+340', '+400', '+350', '+375', '+370', '+370', '+365']","['-500', '-650', '-500', '-550', '-530', '-530', '-490']",-,-
Lorenzo Sonego,Nikoloz Basilashvili,grass,2025-07-03,Wimbledon (United Kingdom),THU 07/03,6:00 AM,SCHEDULED,"['-225', '-240', '-225', '-220', '-240', '-240', '-230']","['+175', '+180', '+175', '+170', '+185', '+185', '+188']",-,-
Alex De Minaur,Arthur Cazaux,grass,2025-07-03,Wimbledon (United Kingdom),THU 07/03,6:00 AM,SCHEDULED,"['-1000', '-900', '-1000', '-1000', '-910', '-910', '-1100']","['+550', '+500', '+600', '+550', '+575', '+575', '+660']",-,-
Pedro Martinez,Mariano Navone,grass,2025-07-03,Wimbledon (United Kingdom),THU 07/03,6:00 AM,SCHEDULED,"['+145', '+170', '+175', '+170', '+155', '+155', '+184']","['-190', '-220', '-225', '-220', '-200', '-200', '-225']",-,-
Fabian Marozsan,Jaume Munar,grass,2025-07-03,Wimbledon (United Kingdom),THU 07/03,6:00 AM,SCHEDULED,"['-120', '-115', '-110', '+100', '-109', '-109', '-102']","['-105', '-115', '-110', '-130', '-117', '-117', '-118']",-,-
August Holmgren,Tomas Machac,grass,2025-07-03,Wimbledon (United Kingdom),THU 07/03,6:00 AM,SCHEDULED,"['+500', '+440', '+500', '+475', '+525', '+525', '+530']","['-800', '-700', '-800', '-750', '-770', '-770', '-780']",-,-
Miomir Kecmanovic,Jesper De Jong,grass,2025-07-03,Wimbledon (United Kingdom),THU 07/03,6:00 AM,SCHEDULED,"['-275', '-260', '-250', '-250', '-250', '-250', '-265']","['+210', '+190', '+200', '+190', '+188', '+188', '+210']",-,-
Grigor Dimitrov,Corentin Moutet,grass,2025-07-03,Wimbledon (United Kingdom),THU 07/03,6:00 AM,SCHEDULED,"['-165', '-240', '-250', '-250', '-225', '-225', '-245']","['+130', '+180', '+200', '+190', '+175', '+175', '+198']",-,-
Ben Shelton,Rinky Hijikata,grass,2025-07-03,Wimbledon (United Kingdom),THU 07/03,6:00 AM,SCHEDULED,"['-475', '-450', '-450', '-500', '-480', '-480', '-465']","['+325', '+310', '+333', '+340', '+335', '+335', '+365']",-,-
Flavio Cobolli,Jack Pinnington Jones,grass,2025-07-03,Wimbledon (United Kingdom),THU 07/03,6:00 AM,SCHEDULED,"['-200', '-220', '-200', '-220', '-235', '-235', '-225']","['+155', '+170', '+163', '+170', '+180', '+180', '+184']",-,-
Marcos Giron,Jakub Mensik,grass,2025-07-03,Wimbledon (United Kingdom),THU 07/03,6:00 AM,SCHEDULED,"['+175', '+170', '+163', '+175', '+155', '+155', '+172']","['-225', '-220', '-200', '-225', '-200', '-200', '-210']",-,-
Marton Fucsovics,Gael Monfils,grass,2025-07-03,Wimbledon (United Kingdom),THU 07/03,6:00 AM,SCHEDULED,"['-175', '-130', '-138', '-120', '-134', '-134', '-115']","['+135', '+100', '+110', '-105', '+106', '+106', '-104']",-,-
Daniel Evans,Novak Djokovic,grass,2025-07-03,Wimbledon (United Kingdom),THU 07/03,8:30 AM,SCHEDULED,"['+950', '+900', '+1400', '+875', '+1000', '+1000', '+1200']","['-2500', '-2500', '-3300', '-2500', '-2000', '-2000', '-3000']",-,-
Jack Draper,Marin Cilic,grass,2025-07-03,Wimbledon (United Kingdom),THU 07/03,10:20 AM,SCHEDULED,"['-1200', '-1000', '-900', '-1000', '-910', '-910', '-950']","['+650', '+550', '+550', '+575', '+650', '+650', '+610']",-,-
Jannik Sinner,Aleksandar Vukic,grass,2025-07-03,Wimbledon (United Kingdom),THU 07/03,11:20 AM,SCHEDULED,"['-', '-10000', '-10000', '-', '-10000', '-10000', '-10000']","['+1350', '+1600', '+2500', '+1650', '+1500', '+1500', '+3500']",-,-
